name	abundance1	abundance2	fold_change	mean_abundance
Escherichia_coli	32.41614	0.000152	213264.078947368	16.208146
Odoribacter_splanchnicus	3.80775	0.000152	25050.9868421053	1.903951
Prevotella_stercorea	2.98058	0.000152	19609.0789473684	1.490366
Roseburia_inulinivorans	2.08033	0.000152	13686.3815789474	1.040241
Parabacteroides_unclassified	1.63018	0.000152	10724.8684210526	0.815166
Clostridium_perfringens	1.29397	0.000152	8512.96052631579	0.647061
Bilophila_unclassified	0.94885	0.000152	6242.43421052631	0.474501
Alistipes_shahii	0.7758	0.000152	5103.94736842105	0.387976
Bacteroides_cellulosilyticus	0.51875	0.000152	3412.82894736842	0.259451
Roseburia_hominis	0.51328	0.000152	3376.84210526316	0.256716
Collinsella_aerofaciens	0.44715	0.000152	2941.77631578947	0.223651
Alistipes_onderdonkii	0.43006	0.000152	2829.34210526316	0.215106
Bacteroides_caccae	0.40147	0.000152	2641.25	0.200811
Parabacteroides_johnsonii	0.30009	0.000152	1974.27631578947	0.150121
Streptococcus_anginosus	0.2485	0.000152	1634.86842105263	0.124326
Alistipes_finegoldii	0.22176	0.000152	1458.94736842105	0.110956
Anaerotruncus_colihominis	0.21487	0.000152	1413.61842105263	0.107511
Pseudomonas_unclassified	0.18735	0.000152	1232.56578947368	0.093751
Bacteroides_clarus	0.17756	0.000152	1168.15789473684	0.088856
Klebsiella_unclassified	0.12668	0.000152	833.421052631579	0.063416
Lachnospiraceae_bacterium_1_4_56FAA	0.12447	0.000152	818.881578947368	0.062311
Bilophila_wadsworthia	0.10794	0.000152	710.131578947368	0.054046
Bacteroides_dorei	0.5216	0.05517	9.45441363059634	0.288385
Bacteroides_thetaiotaomicron	2.0238	0.24311	8.3246267121879	1.133455
Bacteroides_eggerthii	3.5686	0.52895	6.74657340013234	2.048775
Bacteroides_massiliensis	6.96625	1.14522	6.08289237002497	4.055735
Dorea_formicigenerans	1.1372	0.39523	2.87731194494345	0.766215
Lachnospiraceae_bacterium_3_1_46FAA	0.48219	0.17532	2.75034223134839	0.328755
Ruminococcus_callidus	0.17168	0.06762	2.53889381839692	0.11965
Phascolarctobacterium_succinatutens	6.09995	2.83015	2.15534512305001	4.46505
Bacteroides_vulgatus	0.83648	0.40988	2.04079242705182	0.62318
Bacteroides_ovatus	1.63913	0.86824	1.88787662397494	1.253685
Bacteroides_uniformis	5.82306	3.40914	1.70807300374875	4.6161
Faecalibacterium_prausnitzii	2.37586	2.12212	1.11956911013515	2.24899
Ruminococcus_torques	1.21483	1.11736	1.08723240495454	1.166095
Coprococcus_catus	0.12617	0.22344	0.564670605084139	0.174805
Dorea_longicatena	0.31812	0.59785	0.532106715731371	0.457985
Parabacteroides_merdae	0.22359	0.53916	0.414700645448475	0.381375
Subdoligranulum_unclassified	13.05018	33.41636	0.390532661247365	23.23327
Eubacterium_biforme	0.61878	1.70558	0.362797406160954	1.16218
Roseburia_intestinalis	0.43174	1.40024	0.308332857224476	0.91599
Eubacterium_ramulus	0.01282	0.13958	0.0918469694798682	0.0762
Ruminococcus_obeum	0.0785	0.92995	0.0844131404914243	0.504225
Oscillibacter_unclassified	0.04016	0.54084	0.0742548628060055	0.2905
Bacteroides_intestinalis	0.37371	6.55331	0.0570261440401873	3.46351
Coprococcus_comes	0.0268	1.42703	0.0187802639047532	0.726915
Eubacterium_rectale	0.15925	22.55052	0.00706192141023799	11.354885
Eubacterium_eligens	0.03065	6.08088	0.00504038889108155	3.055765
Alistipes_unclassified	0.000152	0.15374	0.000988682190711591	0.076946
Roseburia_unclassified	0.000152	0.22449	0.000677090293554279	0.112321
Methanobrevibacter_smithii	0.000152	0.26199	0.000580174815832665	0.131071
Methanobrevibacter_unclassified	0.000152	0.37647	0.000403750630860361	0.188311
Peptostreptococcaceae_noname_unclassified	0.000152	1.38758	0.000109543233543291	0.693866
Catenibacterium_mitsuokai	0.000152	1.50166	0.00010122131507798	0.750906
Dorea_unclassified	0.000152	1.83276	8.29350269538838e-05	0.916456
Clostridium_leptum	0.000152	2.09271	7.26330929751375e-05	1.046431
Eubacterium_siraeum	0.000152	2.69637	5.6372085433379e-05	1.348261
