1022 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1654886   1657758   1               1                15.1       1
1681823   1682252   4               1                28.0       1
1682253   1683181   3               1                94.0       1
1690635   1692855   1               1                137.5      1
1695553   1696761   1               1                93.5       1
1696762   1700238   4               1                299.3      1
1700239   1700971   1               1                84.2       1
1719832   1720346   4               1                62.6       1
1728101   1728587   4               1                95.8       1
1738936   1739404   1               1                367.0      1
1739405   1739896   3               1                271.7      1
1749642   1749783   4               1                26.6       1
1749784   1750356   3               1                56.2       1
1753716   1754410   1               1                9.4        1
1754411   1754932   3               1                33.4       1
1754933   1755398   1               1                31.0       1
1763470   1764774   4               1                27.0       1
1764775   1765130   3               1                89.8       1
1782321   1782461   4               1                12.9       1
1782462   1783761   1               1                1053.4     1
1783762   1783854   4               1                6.4        1
1783855   1784264   1               1                17.1       1
1784265   1785170   4               1                82.3       1
1785171   1785417   3               1                73.2       1
1785418   1785450   1               1                10.5       1
1785451   1785645   3               1                19.3       1
1785646   1789133   1               1                2554.7     1
1789447   1790730   4               1                43.6       1
1790731   1791392   1               1                1.2        1
3001053   3001243   1               1                15.2       1
3001244   3001773   4               1                136.3      1
3001774   3002630   3               1                55.8       1
3002631   3003438   1               1                224.6      1
3015885   3017075   3               1                152.4      1
3017076   3018821   1               1                1161.5     1
3018822   3019844   3               1                1142.7     1
3019845   3022143   1               1                1689.2     1
3027651   3029202   1               1                2991.7     1
3038683   3039495   3               1                120.2      1
3672231   3674631   1               1                137.2      1
196519    197572    2               2                56.7       2
1003260   1004472   2               2                142.1      2
2348190   2353409   2               2                130.9      2
2353410   2353583   4               2                1.3        2
2353584   2358722   2               2                185.2      2
2376490   2386971   2               2                201.9      2
16546     17122     3               3                76.8       3
53875     54197     2               3                39.4       3
70116     70826     2               3                553.8      3
86851     87924     3               3                21.9       3
110755    111468    2               3                43.6       3
190119    192970    3               3                134.5      3
192971    194221    4               3                18.7       3
194222    194758    2               3                29.1       3
217130    217294    3               3                131.0      3
217295    217367    4               3                129.7      3
219742    223409    4               3                161.2      3
223683    224092    4               3                28.9       3
281654    282165    4               3                24.9       3
282166    283054    3               3                101.4      3
300369    300762    4               3                47.5       3
312162    313117    3               3                24.4       3
384173    384289    3               3                40.6       3
384290    384803    4               3                41.0       3
411022    413462    3               3                349.4      3
421319    423335    4               3                106.2      3
474903    476037    4               3                42.5       3
