RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
247472    248667    3               1                6.7       
789861    790309    3               1                4.1       
2178696   2179334   2               1                3.5       
3017879   3021404   3               1                20.7      
14713     15645     3               2                8.3       
23959     26044     3               2                10.9      
26903     29443     3               2                12.7      
57837     60417     3               2                15.6      
625995    627216    3               2                6.1       
915587    916620    3               2                12.5      
1190792   1191479   3               2                3.6       
2075686   2076693   3               2                6.4       
2119422   2120864   3               2                16.8      
2191477   2192331   3               2                5.1       
2197067   2197622   3               2                7.2       
2198118   2200991   3               2                27.7      
2264629   2266434   3               2                16.8      
2397812   2398779   3               2                7.2       
2420920   2421834   3               2                4.7       
2985968   2987020   3               2                5.8       
3041295   3043073   3               2                6.1       
3043632   3045749   3               2                24.9      
3065065   3065809   3               2                8.7       
3543790   3544955   3               2                13.1      
3549394   3551287   3               2                8.9       
3626342   3628509   3               2                13.5      
3629061   3629528   3               2                2.8       
